,Player,Span,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I
163,JH Davey (SCOT),2012-2019,21,20,12,12,0,0,12,2 (2ct 0st),0.6
164,CR Ervine (ZIM),2010-2019,22,22,12,12,0,0,12,3 (3ct 0st),0.545
165,HG Munsey (SCOT),2015-2019,38,36,12,12,0,0,12,3 (3ct 0st),0.33299999999999996
166,Nadeem Ahmed (HKG),2014-2017,24,24,12,12,0,0,12,2 (2ct 0st),0.5
167,JDP Oram (NZ),2005-2012,36,36,12,12,0,0,12,2 (2ct 0st),0.33299999999999996
168,Saeed Ajmal (PAK),2009-2015,64,64,12,12,0,0,12,2 (2ct 0st),0.187
169,MN Samuels (WI),2007-2018,67,67,12,12,0,0,12,2 (2ct 0st),0.179
170,TL Seifert (NZ),2018-2019,19,19,12,8,4,8,0,2 (2ct 0st),0.631
171,V Sibanda (ZIM),2007-2016,26,26,12,12,0,0,12,3 (3ct 0st),0.461
172,Tamoor Sajjad (QAT),2019-2019,12,12,12,12,0,0,12,2 (2ct 0st),1.0
173,HA Varaiya (KENYA),2007-2013,25,25,12,12,0,0,12,2 (2ct 0st),0.48
174,DJ Willey (ENG),2015-2019,28,28,12,12,0,0,12,2 (2ct 0st),0.428
175,Younis Khan (PAK),2006-2010,25,25,12,12,0,0,12,2 (2ct 0st),0.48
176,Yuvraj Singh (INDIA),2007-2017,58,57,12,12,0,0,12,2 (2ct 0st),0.21
177,A Bagai (CAN),2008-2013,9,9,11,5,6,5,0,2 (1ct 1st),1.222
178,S Chandramohan (SGP),2019-2019,12,12,11,11,0,0,11,3 (3ct 0st),0.9159999999999999
179,TH David (SGP),2019-2019,12,12,11,11,0,0,11,4 (4ct 0st),0.9159999999999999
180,N Davin (NAM),2019-2019,16,16,11,11,0,0,11,3 (3ct 0st),0.687
181,JSE Dunford (JER),2019-2019,17,17,11,6,5,6,0,1 (1ct 0st),0.647
182,MG Erasmus (NAM),2019-2019,16,16,11,11,0,0,11,2 (2ct 0st),0.687
